Name,ICAO,Country
Kingfisher Air Services,BEZ,United States
Kingfisher Airlines,KFR,India
Knighthawk Air Express,KNX,Canada
Kingston Air Services,KAS,Canada
Kinnarps,KIP,Sweden
Kinshasa Airways,KNS,Democratic Republic of the Congo
Kirov Air Enterprise,KTA,Russia
Kish Air,IRK,Iran
Kitty Hawk Aircargo,KHA,United States
Kitty Hawk Airways,KHC,United States
Kiwi International Air Lines,KIA,United States
Knight Air,KNA,Canada
Knighthawk Express,KHX,United States
Knights Airlines,KGT,Nigeria
Koanda Avacion,KOA,Spain
Koda International,OYE,Nigeria
Kogalymavia Air Company,KGL,Russia
Kom Activity,KOM,Netherlands
Komiaviatrans State Air Enterprise,KMA,Russia
Komiinteravia,KMV,Russia
Komsomolsk-on-Amur Air Enterprise,KNM,Russia
Koob-Corp - 96 KFT,KOB,Hungary
Korean Air,KAL,Republic of Korea
Kosmas Air,KMG,Serbia
Kosmos,KSM,Russia
Kosova Airlines,KOS,Serbia
Kovar Air,WOK,Czech Republic
Krasnojarsky Airlines,KJC,Russia
Kremenchuk Flight College,KFC,Ukraine
Krimaviamontag,KRG,Ukraine
Kroonk Air Agency,KRO,Ukraine
Krylo Airlines,KRI,Russia
Krym,KYM,Ukraine
Krystel Air Charter,OPC,United Kingdom
Kuban Airlines,KIL,Russia
Kunpeng Airlines,KPA,China
Kurzemes Avio,KZA,Russia
Kustbevakningen,KBV,Sweden
Kuwait Airways,KAC,Kuwait
Kuzu Airlines Cargo,KZU,Turkey
Kvadro Aero,QVR,Kyrgyzstan
Kwena Air,KWN,South Africa
Kyrgyz Airlines,KGZ,Kyrgyzstan
Kyrgyz Trans Avia,KTC,Kyrgyzstan
Kyrgyzstan,LYN,Kyrgyzstan
Kyrgyzstan Airlines,KGA,Kyrgyzstan
Kyrgyzstan Department of Aviation,DAM,Kyrgyzstan
Kyrgz General Aviation,KGB,Kyrgyzstan
Kibris T,KYV,Turkey
L A Helicopter,LAH,United States
L J Aviation,LJY,United States
L R Airlines,LRB,Czech Republic
L&L Flygbildteknik,PHO,Sweden
L'Express,LEX,United States
L-3 Communications Flight Internation Aviation,FNT,United States
L.A.B. Flying Service,LAB,United States
LACSA,LRC,Costa Rica
LADE - Lineas Aereas Del Estado,LDE,Argentina
LAI - Linea Aerea IAACA,BNX,Venezuela
LAN Airlines,LAN,Chile
LAN Argentina,DSM,Argentina
LAN Cargo,LCO,Chile
LAN Dominica,LNC,Dominican Republic
LAN Express,LXP,Chile
LAN Peru,LPE,Peru
LANSA,LSA,Dominican Republic
LAP Colombia - Lineas Aereas Petroleras,APT,LAP
LASTP,OTN,S
LC Busre,LCB,Peru
LOT Polish Airlines,LOT,Poland
LTE International Airways,LTE,Spain
LTU Austria,LTO,Austria
LTU International,LTU,Germany
LTV Jet Fleet Corporation,JFC,United States
LUKoil-Avia,LUK,Russia
La Ronge Aviation Services,ASK,Canada
La Valenciana Taxi Aereo,LVT,Mexico
Labcorp,SKQ,United States
Labrador Airways,LAL,Canada
Lagun Air,JEV,Spain
Lake Havasu Air Service,HCA,United States
Lakeland Aviation,LKL,United States
Laker Airways,LKR,United States
Laker Airways (Bahamas),LBH,United States
Lamra,LMR,Sudan
Lanaes Aereas Trans Costa Rica,TCR,Costa Rica
Landsflug,ISL,Iceland
Langtry Flying Group,PAP,United Kingdom
Lankair,LKN,Sri Lanka
Lanza Air,LZA,Spain
Lanzarote Aerocargo,LZT,Spain
Lao Air Company,LLL,Lao Peoples Democratic Republic
Lao Airlines,LAO,Lao Peoples Democratic Republic
Lao Capricorn Air,LKA,Lao Peoples Democratic Republic
Laoag International Airlines,LPN,Philippines
Laredo Air,LRD,United States
LatCharter,LTC,Latvia
Latvian Air Force,LAF,Latvia
Lauda Air,LDA,Austria
Lauda Air Italy,LDI,Italy
Laughlin Express,LEP,United States
Laus,LSU,Croatia
Lawrence Aviation,LAR,United States
Layang-Layang Aerospace,LAY,Malaysia
Lease-a-Plane International,LPL,United States
Lebanese Air Transport,LAQ,Lebanon
Lebanese Air Transport (Charter),LAT,Lebanon
Lebanon Airport Development Corporation,LAD,United States
Leconte Airlines,LCA,United States
Leeward Islands Air Transport,LIA,Antigua and Barbuda
Legend Airlines,LGD,United States
Leisure Air,LWD,United States
Lentini Aviation,LEN,United States
Leo-Air,LOR,South Africa
Leonsa De Aviacion,LEL,Spain
Libyan Airlines,LYW,Libya
Libyan Arab Airlines,LAA,Libya
Libyan Arab Air Cargo,LCR,Libya
Lid Air,LIQ,Sweden
Lignes Aeriennes Congolaises,LCG,Democratic Republic of the Congo
Lignes Aeriennes Du Tchad,LKD,Chad
Lignes Mauritaniennes Air Express,LME,Mauritania
Lignes Nationales Aeriennes - Linacongo,GCB,Republic of the Congo
Lincoln Air National Guard,GDQ,United States
Lincoln Airlines,LRT,Australia
Lindsay Aviation,LSY,United States
Linea Aerea Costa Norte,NOT,Chile
Linea Aerea Mexicana de Carga,LMC,Mexico
Linea Aerea SAPSA,LNP,Chile
Linea Aerea de Fumig Aguas Negras,NEG,Chile
Linea Aerea de Servicio Ejecutivo Regional,LER,Venezuela
Linea De Aeroservicios,LSE,Chile
Linea Turistica Aerotuy,TUY,Venezuela
Lineas Aereas Alaire S.L.,ALR,Spain
Lineas Aereas Azteca,LCD,Mexico
Lineas Aereas Canedo LAC,LCN,Bolivia
Lineas Aereas Comerciales,LCM,Mexico
Lineas Aereas Ejectuivas De Durango,EDD,Mexico
Lineas Aereas Eldorado,EDR,Colombia
Lineas Aereas Federales,FED,Argentina
Lineas Aereas Monarca,LMN,Mexico
Lineas Aereas San Jose,LIJ,Mexico
Lineas Aereas del Humaya,UMA,Mexico
Linex,LEC,Central African Republic
Linhas Aereas Santomenses,SMS,S
Linhas A,LAM,Mozambique
Link Airways of Australia,LAW,Australia
Lion Air Services,WGT,United Kingdom
Lion Mentari Airlines,LNI,Indonesia
Lions-Air,LEU,Switzerland
Lithuanian Air Force,LYF,Lithuania
Little Red Air Service,LRA,Canada
Livingston,LVG,Italy
Lloyd Aereo Boliviano,LLB,Bolivia
Lnair Air Services,LNA,Spain
Lockheed Air Terminal,XLG,United States
Lockeed Aircraft Corporation,LAC,United States
Lockheed DUATS,XDD,United States
Lockheed Martin Aeronautics,CBD,United States
Lockheed Martin Aeronautics Company,LNG,United States
Logan Air,LOG,United Kingdom
Lom Praha Flying School,CLV,Czech Republic
Lomas Helicopters,LMS,United Kingdom
London City Airport Jet Centre,LCY,United Kingdom
London Executive Aviation,LNX,United Kingdom
London Flight Centre (Stansted),LOV,United Kingdom
London Helicopter Centres,LHC,United Kingdom
Lone Star Airlines,LSS,United States
Long Island Airlines,ORA,United States
Longtail Aviation,LGT,Bermuda
Lorraine Aviation,LRR,France
Los Cedros Aviacion,LSC,Chile
Lotus Air,TAS,Egypt
Luchtvaartmaatschappij Twente,LTW,Netherlands
Lucky Air,LKE,China
Luft Carago,LUT,South Africa
Luftfahrt-Vermietungs-Dienst,LVD,Austria
Luftfahrtgesellschaft Walter,LGW,Germany
Lufthansa,DLH,Germany
Lufthansa Cargo,GEC,Germany
Lufthansa CityLine,CLH,Germany
Lufthansa Technik,LHT,Germany
Lufttaxi Fluggesellschaft,LTF,Germany
Lufttransport,LTR,Norway
Luhansk,LHS,Ukraine
Lund University School of Aviation,UNY,Sweden
Luxair,LGL,Luxembourg
Luxaviation,LXA,Luxembourg
Luxembourg Air Rescue,LUV,Luxembourg
Luxflight Executive,LFE,Luxembourg
Luxor Air,LXO,Egypt
Luzair,LUZ,Portugal
Lviv Airlines,UKW,Ukraine
Lydd Air,LYD,United Kingdom
Lynch Flying Service,LCH,United States
Lynden Air Cargo,LYC,United States
Lynx Air International,LXF,United States
Lynx Aviation,LYX,Pakistan
L,LPR,Argentina
L,LAU,Colombia
M & N Aviation,JNH,United States
MAC Fotografica,MCF,Spain
MANAG'AIR,MRG,France
MAP-Management and Planung,MPJ,Austria
MAS Airways,TFG,United Kingdom
MasAir,MAA,Mexico
MAT Macedonian Airlines,MAK,Macedonia
MCC Aviation,MCC,South Africa
MG Aviacion,MGA,Spain
MIA Airlines,JLA,Romania
MIAT Mongolian Airlines,MGL,Mongolia
MIT Airlines,MNC,Canada
MK Airline,MKA,Ghana
MNG Airlines,MNB,Turkey
MSR Flug-Charter,EBF,Germany
MTC Aviacion,MCV,Mexico
Mac Aviation,MAQ,Spain
Mac Dan Aviation Corporation,MCN,United States
MacKnight Airlines,MTD,Australia
Macair Airlines,MCK,Australia
Macedonian Airlines,MCS,Greece
Madina Air,MDH,Libya
Magic Blue Airlines,MJB,Netherlands
Magna Air,MGR,Austria
Mahalo Air,MLH,United States
Mahan Air,IRM,Iran
Mahfooz Aviation,MZS,Gambia
Maine Aviation,MAT,United States
Majestic Airlines,MAJ,United States
Mak Air,AKM,Kazakhstan
Malagasy Airlines,MLG,Madagascar
Malawi Express,MLX,Malawi
Malaya Aviatsia Dona,MKK,Russia
Malaysia Airlines,MAS,Malaysia
Mali Air,MAE,Austria
Mali Air Express,VXP,Mali
Mali Airways,MTZ,Mali
Malila Airlift,MLC,Democratic Republic of the Congo
Mall Airways,MLS,United States
Malmo Aviation,SCW,Sweden
Malmoe Air Taxi,LOD,Sweden
Malmö Aviation,SCW,Sweden
Malta Air Charter,MAC,Malta
Malta Wings,MWS,Malta
Malév,MAH,Hungary
Manaf International Airways,MLB,Burundi
Mandala Airlines,MDL,Indonesia
Mandarin Airlines,MDA,Taiwan
Mango,MNO,South Africa
Manhattan Air,MHN,United Kingdom
Manitoulin Air Services,MTO,Canada
Mann Air,MNR,United Kingdom
Mannion Air Charter,MAN,United States
Mantrust Asahi Airways,MTS,Indonesia
Manx Airlines,MNX,United Kingdom
Maple Air Services,MAD,Canada
March Helicopters,MAR,United Kingdom
Marcopolo Airways,MCP,Afghanistan
Marghi Air,MGI,Nigeria
Markair,MRK,United States
Markoss Aviation,MKO,United Kingdom
Mars RK,MRW,Ukraine
Marshall Aerospace,MCE,United Kingdom
Marsland Aviation,MSL,Sudan
Martin Aviation Services,XMA,United States
Martin-Baker,MBE,United Kingdom
Martinair,MPH,Netherlands
Martinaire,MRA,United States
Martyn Fiddler Associates,MFA,United Kingdom
Marvin Limited,MVN,United Kingdom
Maryland State Police,TRP,United States
Massachusetts Institute of Technology,MTH,United States
Massey University School of Aviation,MSY,New Zealand
Master Airways,MSW,Serbia
Master Planner,MPL,United States
Masterjet,LMJ,Portugal
Mauria,MIA,Mauritania
Mauritanienne Aerienne Et Navale,MNV,Mauritania
Mauritanienne Air Fret,MRF,Mauritania
Mauritanienne Airways,MWY,Mauritania
Mauritanienne De Transport Aerien,MDE,Mauritania
Maverick Airways,MVR,United States
Mavial Magadan Airlines,MVL,Russia
Max Avia,MAI,Kyrgyzstan
Max Sea Food,MSF,El Salvador
Max-Aviation,MAX,Canada
Maxair,MXL,Sweden
Maximus Air Cargo,MXU,United Arab Emirates
Maxjet Airways,MXJ,United States
Maxsus-Avia,MXS,Uzbekistan
May Air Xpress,MXP,United States
Maya Island Air,MYD,Belize
Mayair,MYI,Mexico
Mbach Air,MBS,Malawi
McAlpine Helicopters,MCH,United Kingdom
McCall Aviation,MKL,United States
McDonnell Douglas,DAC,United States
McNeely Charter Services,MDS,United States
Med-Trans of Florida,MEK,United States
Medavia Company,MDM,Malta
Medical Air Rescue Services,MRZ,Zimbabwe
Medical Aviation Services,MCL,United Kingdom
Mediterranean Air Freight,MDF,Greece
Mediterranean Airways,MDY,Egypt
Medjet International,MEJ,United States
Mega,MGK,Kazakhstan
Mega Linhas Aereas,MEL,Brazil
Mekong Airlines,MKN,Cambodia
Menajet,MNJ,Lebanon
Merchant Express Aviation,MXX,Nigeria
Mercury Aircourier Service,MEC,United States
Meridian,POV,Ukraine
Meridian Air Cargo,MRD,United States
Meridian Airlines,MHL,Nigeria
Meridian Aviation,DSL,United Kingdom
Meridian Limited,MEM,Ukraine
Meridiana,ISS,Italy
Merlin Airways,MEI,United States
Merpati Nusantara Airlines,MNA,Indonesia
Mesa Airlines,ASH,United States
Mesaba Airlines,MES,United States
Meta Linhas A,MSQ,Brazil
Meteorological Research Flight,MET,United Kingdom
Methow Aviation,MER,United States
Metro Business Aviation,MVI,United Kingdom
Metro Express,MEX,United States
Metroflight,MTR,United States
Metrojet,MTJ,Hong Kong SAR of China
Metropix UK,PIX,United Kingdom
Metroplis,MPS,Netherlands
Mex Blue,MXB,Mexico
Mex-Jet,MJT,Mexico
Mexicana de Aviaci,MXA,Mexico
Mexico Transportes Aereos,MXT,Mexico
Miami Air Charter,HUR,United States
Miami Air International,BSK,United States
Miami Valley Aviation,OWL,United States
Miapet-Avia,MPT,Armenia
Michelin Air Services,BIB,France
Micromatter Technology Solutions,WIZ,United Kingdom
Mid Airlines,NYL,Sudan
Mid-Pacific Airlines,MPA,United States
Midamerica Jet,MJR,United States
Middle East Airlines,MEA,Lebanon
Midland Airport Services,MID,United Kingdom
Midline Air Freight,MFR,United States
Midstate Airlines,MIS,United States
Midway Airlines,MDW,United States
Midway Express,FLA,United States
Midwest Air Freighters,FAX,United States
Midwest Airlines,MEP,United States
Midwest Airlines (Egypt),MWA,Egypt
Midwest Aviation,NIT,United States
Midwest Aviation Division,MWT,United States
Midwest Helicopters De Mexico,HTE,Mexico
Millardair,MAB,Canada
Millen Corporation,RJM,United Kingdom
Millennium Air,MLK,Nigeria
Miller Flying Services,MFS,United States
Million Air,OXO,United States
Mimino,MIM,Russia
Mina Airline Company,NAB,Egypt
Minair,OMR,Central African Republic
Minebea Technologies,EBE,United States
Mines Air Services Zambia,MAZ,Zambia
Miniliner,MNL,Italy
Ministic Air,MNS,Canada
Ministry of Agriculture,WDG,WATCHDOG
Minsk Aircraft Overhaul Plant,LIR,Belarus
Miramichi Air Service,MIR,Canada
Miras,MIF,Kazakhstan
Misr Overseas Airways,MOS,Egypt
Mission Aviation Fellowship,MAF,Indonesia
Missionair,MSN,Spain
Missions Gouvernemtales Francaises,MRN,France
Mississippi State University,BDG,United States
Mississippi Valley Airways,MVA,United States
Mistral Air,MSA,Italy
Mobil Oil,MBO,Canada
Mocambique Expresso,MXE,Mozambique
Mofaz Air,MFZ,Malaysia
Moldaeroservice,MLE,Moldova
Moldavian Airlines,MDV,Moldova
Moldova,MVG,Moldova
Mombasa Air Safari,RRV,Kenya
Monarch Airlines,MON,United Kingdom
Monarch Airlines,MNH,United States
Moncton Flying Club,MFC,Canada
Monde Air Charters,MDB,United Kingdom
Monerrey Air Taxi,MTI,Mexico
Monky Aerotaxis,MKY,Mexico
Montenegro Airlines,MGX,Montenegro
Montserrat Airways,MNT,Montserrat
Mooney Aircraft Corporation,MNY,United States
Morningstar Air Express,MAL,Canada
Morris Air Service,MSS,United States
Morrison Flying Service,MRO,United States
Moskovia Airlines,GAI,Russia
Mosphil Aero,MPI,Philippines
Motor Sich,MSI,Ukraine
Mount Cook Airlines,NZM,New Zealand
Mountain Air Cargo,MTN,United States
Mountain Air Company,MTC,Sierra Leone
Mountain Air Express,PKP,United States
Mountain Air Service,BRR,United States
Mountain Bird,MBI,United States
Mountain High Aviation,MHA,United States
Mountain Pacific Air,MPC,Canada
Mountain Valley Air Service,MTV,United States
Mowhawk Airlines,MOW,United States
Mudan Airlines,MDN,Somali Republic
Mudanjiang General Aviation,CMJ,China
Multi Taxi,MTX,Mexico
Multi-Aero,WBR,United States
Murmansk Aircompany,MNZ,Russia
Murray Air,MUA,United States
Musrata Air Transport,MMR,Libya
Mustique Airways,MAW,Barbados
My Way Airlines,MYW,Italy
MyTravel Airways,MYT,United Kingdom
Myanma Airways,UBA,Myanmar
Myanmar Airways International,MMM,Myanmar
Myflug,MYA,Iceland
Mytravel Airways,VKG,Denmark
NEL Cargo,NLG,Ivory Coast
NHT Lineas Aereas,NHG,Brazil
NZ Warbirds Association,WAR,New Zealand
Nacoia Lda,ANL,Angola
Nada Air Service,NHZ,Chad
Compangnie Nationale Naganagani,BFN,Burkina Faso
Nahanni Air Services Ltd,NAH,Canada
Nakheel Aviation,NKL,United Arab Emirates
Namibia Commerical Aviation,MRE,Namibia
Namibian Defence Force,NDF,Namibia
Nanjing Airlines,CNJ,China
Nantucket Airlines,ACK,United States
Nanyah Aviation,NYA,Israel
Napier Air Service Inc,NAP,United States
Nas Air,NCM,Angola
Nasair,NAS,Eritrea
Nashville Jet Charters,NJC,United States
Natalco Air Lines,NCO,S
Natioanl Air Traffic Controllers Association,NTK,United States
National Air Charter,NSR,Indonesia
National Air Traffic Services,RFI,United Kingdom
National Airlines,NAN,United States
National Airlines,NCN,Chile
National Airlines,ROK,United States
National Airlines,NAL,United States
National Airlines,KUS,South Africa
National Airways Corporation,LFI,South Africa
National Aviation Company,GTY,Egypt
National Aviation Consultants,TNC,Canada
National Express,NXT,United States
National Grid,GRD,United Kingdom
National Jet Express,JTE,Australia
National Jet Service,AND,United States
National Jet Systems,NJS,Australia
National Oceanic and Atmospheric Administration,NAA,United States
National Overseas Airlines Company,NOL,Egypt
Nationale Luchtvaartschool,NLS,Netherlands
Nations Air Express Inc,NAE,United States
Nationwide Airlines,NTW,South Africa
Nationwide Airlines (Zambia),NWZ,Zambia
Natural Environment Research Council,EVM,United Kingdom
Natureair,NRR,Costa Rica
Naturelink Charter,NRK,South Africa
Nauru Air Corporation,RON,Nauru
NAV CANADA,NVC,Canada
Nav Flight Planning,NAV,Czech Republic
Navegacao Aerea De Portugal,NVP,Portugal
Navegacion Servicios Aereos Canarios SA,NAY,Spain
Navid,IRI,Iran
Naviera Mexicana,NVM,Mexico
Navigator Airlines,NVL,Armenia
Navinc Airlines Services,XNV,United States
Navtech System Support,XNS,Canada
Nayzak Air Transport,NZA,Libya
State of Nebraska,NEB,United States
Necon Air,NEC,Nepal
Nederlandse Kustwacht,NCG,Netherlands
Nefteyugansk Aviation Division,NFT,Russia
Neiltown Air,NLA,Canada
Nelair Charters,NLC,South Africa
Nelson Aviation College,CGE,New Zealand
Nepal Airlines,RNA,Nepal
Neos,NOS,Italy
Neosiam Airways,TOX,Thailand
Neric,NSL,United Kingdom
NetJets,EJA,United States
Network Aviation Services,NET,Nigeria
New England Air Express,NEZ,United States
New England Airlines,NEA,United States
New Heights 291,NHT,South Africa
New World Jet Corporation,NWD,United States
New York Helicopter,NYH,United States
New York State Police,GRY,United States
New Zealand Air Defence Force,KRC,New Zealand
Newair,HVA,United States
Newfoundland Labrador Air Transport,NLT,Canada
NextJet,NTJ,Sweden
Nextflight Aviation,NXF,United States
Nexus Aviation,NXS,Nigeria
Nicaraguense De Aviacion,NIS,Nicaragua
Nicon Airways,NCN,Nigeria
Nigeria Airways,NGA,Nigeria
Nigerian Air Force,NGR,Nigeria
Nigerian Global,NGX,Nigeria
Night Express,EXT,Germany
Niki,NLY,Austria
Nikolaev-Air,NKV,Ukraine
Nile Safaris Aviation,NSA,Sudan
Nile Valley Aviation Company,NVA,Egypt
Nile Wings Aviation Services,NLW,Sudan
Nimbus Aviation,NBS,United Kingdom
Nippon Cargo Airlines,NCA,Japan
Nizhnevartovskavia,NVK,Russia
Search and Rescue 202,SRG,United Kingdom
Search and Rescue 22,SRD,United Kingdom
No. 32 (The Royal) Squadron RAF,NOH,United Kingdom
84 Squadron Royal Air Force @ RAF Akrotiri,AKG,United Kingdom
Nobil Air,NBL,Moldova
Nok Air,NOK,Thailand
Nolinor Aviation,NRL,Canada
Nomad Aviation,NMD,Namibia
Norcopter,NOC,Norway
Nord-Flyg,NEF,Sweden
Nordeste Linhas Aereas Regionais,NES,Brazil
Nordic Regional,NRD,Sweden
Nordic Solutions,NVD,Lithuania
Nordstree (Australia),NDS,Australia
Norestair,NRT,Spain
Norfolk County Flight College,NCF,United Kingdom
Norontair,NOA,Canada
Norrlandsflyg,HMF,Sweden
Norse Air Charter,NRX,South Africa
Norsk Flyrjeneste,NIR,Norway
Norsk Helikopter,NOR,Norway
Norsk Luftambulanse,DOC,Norway
Nortavia,RTV,Portugal
North Adria Aviation,NAI,Croatia
North American Airlines,NTM,Canada
North American Charters,HMR,Canada
North American Jet Charter Group,NAJ,United States
North Atlantic Air Inc,NAT,United States
North Atlantic Cargo,NFC,Norway
North British Airlines,NBN,United Kingdom
North Caribou Flying Service Ltd,NCB,Canada
North Coast Air Services Ltd,NCC,Canada
North Flying,NFA,Denmark
North Sea Airways,NRC,Netherlands
North Star Air Cargo,SBX,United States
North Vancouver Airlines,NRV,Canada
North West Airlines,NWW,Australia
North West Geomatics,PTO,Canada
North-East Airlines,NEN,Nigeria
North-West Air Transport Company - Vyborg,VBG,Russia
North-Wright Airways,NWL,Canada
Northafrican Air Transport,NLL,Libya
Northaire Feight Lines,NFL,United States
Northamptonshire School of Flying,NSF,United Kingdom
Northcoast Executive Airlines,NCE,United States
Northeast Airlines,NEE,United States
Northeast Aviation,NPX,United States
Northern Air Cargo,NAC,United States
Northern Airlines Sanya,BYC,China
Northern Airways,NDA,United States
Northern Aviation Service,CMU,Thailand
Northern Executive Aviation,NEX,United Kingdom
Northern Illinois Commuter,NIC,United States
Northern Jet Management,NTX,United States
Northern Thunderbird Air,NTA,Canada
Northland Aviation,KOE,United States
Northstar Aviation,NSS,United States
Northumbria Helicopters,NHL,United Kingdom
Northway Aviation Ltd,NAL,Canada
Northwest Aero Associates,NWE,United States
Northwest Airlines,NWA,United States
Northwest Regional Airlines,NWR,Australia
Northwest Territorial Airways,NWT,Canada
Northwestern Air,PLR,Canada
Northwinds Northern,NWN,Canada
Nortland Air Manitoba,NAM,Canada
Norwegian Air Shuttle,NAX,Norway
Norwegian Aviation College,TFN,Norway
Notams International,XNT,United States
Nouvel Air Tunisie,LBT,Tunisia
Nova Airline,NOV,Sudan
Nova Scotia Department of Lands and Forests,PTR,Canada
Novair,NVR,Sweden
Novogorod Air Enterprise,NVG,Russia
Novosibirsk Aircraft Repairing Plant,NSP,Russia
Novosibirsk Aviaenterprise,NBE,Russia
Novosibirsk Aviation Production Association,NPO,Russia
Noy Aviation,NOY,Israel
Nuevo Continente,ACQ,Peru
Nuevo Horizonte Internacional,NHR,Mexico
Nunasi-Central Airlines,NUN,Canada
Nurman Avia Indopura,NIN,Indonesia
Nyasa Express,NYS,Malawi
Nas Air,KNE,Saudi Arabia
O Air,OCN,France
O'Connor Airlines,OCM,Australia
OSACOM,JPA,United States
Oasis Hong Kong Airlines,OHK,Hong Kong
Ocean Air,BCN,Mauritania
Ocean Airlines,VCX,Italy
Ocean Sky (UK),OCS,United Kingdom
Ocean Wings Commuter Service,TUK,United States
Oceanair,ONE,Brazil
Odessa Airlines,ODS,Ukraine
Odyssey International,ODY,Canada
Office Federal De'Aviation Civile,FOC,Switzerland
Ogooue Air Cargo,GBO,Gabon
Okada Airlines,OKJ,Nigeria
Okapi Airways,OKP,Democratic Republic of Congo
Okay Airways,OKA,China
Oklahoma Department of Public Safety,OKL,United States
Olimex Aerotaxi,OLX,Czech Republic
Olimp Air,KVK,Kazakhstan
Olympic Airlines,OAL,Greece
Olympic Aviation,OLY,Greece
Oman Air,OMA,Oman
Oman Royal Flight,ORF,Oman
Omni - Aviacao e Tecnologia,OAV,Portugal
Omni Air International,OAE,United States
Omniflys,OMF,Mexico
Omskavia Airline,OMS,Russia
On Air Limited,ORL,Canada
One Two Go Airlines,OTG,Thailand
Onetime Airlines Zambia,OTM,Zambia
Ontario Ministry of Health,MED,Canada
Onur Air,OHY,Turkey
Opal Air,OPA,Australia
Open Sky Aviation,OSA,Lebanon
OpenSkies,BOS,United Kingdom
Operadora Turistica Aurora,ORR,Mexico
Operadora de Lineas Ejecutivas,OLE,Mexico
Operadora de Transportes Aereos,OTP,Mexico
Operadora de Veulos Ejectutivos,OPV,Mexico
Operation Enduring Freedom,LLO,Canada
Operational Aviation Services,OAX,Australia
Orange Air Services,ORD,Sierra Leone
Orange Air Sierra Leone,ORJ,Sierra Leone
Orange Aviation,ORE,Israel
Orbit Express Airlines,ORX,Turkey
Orca Air,ORK,Egypt
Orebro Aviation,BUE,Sweden
Orel State Air Enterprise,ORM,Russia
Orenburg Airlines,ORB,Russia
Organizacion De Transportes Aereos,OTA,Mexico
Organizacoes Mambra,OML,Angola
Orient Air,OVV,Syrian Arab Republic
Orient Airlines,OTR,Sudan
Orient Airways,ORN,Pakistan
Orient Thai Airlines,OEA,Thailand
Oriental Air Bridge,NGK,Japan
Oriental Airlines,OAC,Nigeria
Origin Pacific Airways,OGN,New Zealand
Orion Air Charter,OED,South Africa
Orion-x,OIX,Russia
Orlan-2000,KOV,Kazakhstan
Ornage Aircraft Leasing,RNG,Netherlands
Orscom Tourist Installations Company,OAD,Egypt
Osh Avia,OSH,Kyrgyzstan
Ostend Air College,OCO,Belgium
Ostfriesische Lufttransport,OLT,Germany
Oulun Tilauslento,FNL,Finland
Our Airline,RON,Nauru
Out Of The Blue Air Safaris,OOT,South Africa
Overland Airways,OLA,Nigeria
Oxaero,OXE,United Kingdom
Oxford Air Services,WDK,United Kingdom
Oxley Aviation,OAA,Australia
Ozark Air Lines,OZR,United States
Ozjet Airlines,OZJ,Australia
P & P Floss Pick Manufacturers,KTL,South Africa
PAC Air,PCR,United States
PAN Air,PNR,Spain
PB Air,PBA,Thailand
PDQ Air Charter,PDQ,United States
PHH Aviation System,XAS,United States
PLM Dollar Group,PDG,United Kingdom
PLUNA,PUA,Uruguay
PMTair,PMT,Cambodia
PRT Aviation,PRP,Spain
PSA Airlines,JIA,United States
PTL Luftfahrtunternehemen,KST,Germany
Paccair,WIS,United States
Pace Airlines,PCE,United States
Pacific Air Boats,PAB,Canada
Pacific Air Charter,PRC,United States
Pacific Air Express,PCF,United States
Pacific Air Transport,PXP,United States
Jetstar Pacific,PIC,Vietnam
Pacific Alaska Airlines,PAK,United States
Pacific Aviation (Australia),PCV,Australia
Pacific Aviation (United States),PCX,United States
Pacific Blue,PBN,New Zealand
Pacific Coast Airlines,PQA,United States
Pacific Coastal Airline,PCO,Canada
Pacific East Asia Cargo Airlines,PEC,Philippines
Pacific Flight Services,PFA,Singapore
Pacific International Airlines,PIN,United States
Pacific Island Aviation,PSA,United States
Pacific Jet,PCJ,United States
Pacific Pearl Airways,PPM,Philippines
Pacific Rim Airways,PAR,Australia
Pacific Southwest Airlines,PSX,United States
Pacific Wings,NMI,United States
Pacificair Airlines,PFR,United States
Package Express,RCY,United States
Paisajes Espanoles,PAE,Spain
Pak West Airlines,PKW,United States
Pakistan International Airlines,PIA,Pakistan
Pakker Avio,PKR,Estonia
Pal Aerolineas,LPA,Mexico
Palau Asia Pacific Airlines,PPC,Palau
Palau Trans Pacific Airline,PTP,Palau
Palestinian Airlines,PNW,Egypt
Palmer Aviation,JSP,United Kingdom
Pamir Airways,PIR,Afghanistan
Pan African Air Services,PFN,Sierra Leone
Pan African Airways,ODM,Kenya
Pan Air,PAX,United States
Pan Am Weather Systems,XPA,United States
Pan Am World Airways,PWD,Dominican Republic
Pan American Airways,PAA,United States
Pan American World Airways,PAA,United States
Pan Europeenne Air Service,PEA,France
Pan Havacilik Ve Ticaret,PHT,Turkey
Pan Malaysian Air Transport,PMA,Malaysia
Pan-Air,PNC,Mexico
Panafrican Airways,PNF,Ivory Coast
Panagra Airways,PGI,United States
Panamedia,PEI,Spain
Panavia,PVI,Panama
Panh,PNH,Russia
Pannon Air Service,PHU,Hungary
Panorama,PNM,Spain
Panorama Air Tour,PAH,United States
Panorama Flight Service,AFD,United States
Pantanal Linhas Aéreas,PTN,Brazil
Papair Terminal,HMP,Haiti
Paradise Airways,PAI,United States
Paradise Island Airways,PDI,United States
Paragon Air Express,PGX,United States
Paragon Global Flight Support,PGF,United Kingdom
Paramount Airlines,PRR,Sierra Leone
Paramount Airways,PMW,India
Parcel Express,APE,United States
Pariz Air,IRE,Iran
